random,Landcover_Class,system:index
0.5989801714139886,8,5
0.16976443134200347,12,6
0.4768356823426545,8,8
0.11962874118180888,9,9
0.5821037888359557,9,11
0.29132228665406734,3,12
0.13190389660622337,4,15
0.0959659055344908,17,17
0.24209795676346335,17,20
0.23458017685386534,9,22
0.07333180500372438,17,23
0.10305891043822524,17,24
0.39325985092508553,2,25
0.12072512135706592,9,28
0.061267074795745446,11,29
0.29613570721389093,3,30
0.23697026400522447,9,31
0.40352956773877235,0,33
0.23199038655269433,3,34
0.3437762401760821,8,35
0.4962747829661327,0,36
0.10772428802730372,0,39
0.2967001788005531,0,40
0.43641176287585426,9,41
0.549537733710462,12,42
0.10786152265629201,4,44
0.153444250016758,7,46
0.07102030129918646,11,47
0.2678693603476029,17,48
0.04439800775989966,0,50
0.6087153875136209,0,51
0.19253984930815504,2,52
0.6114042801480961,0,54
0.2994622188893523,9,55
0.55005986566515,9,56
0.05117955234879146,8,57
0.6399831510867501,17,58
0.42528169404447136,9,61
0.21722140792209133,11,62
0.1322698823072066,17,63
0.6878789872741007,17,64
0.3762548764090614,17,66
0.5388398969668208,12,69
0.5514169505498374,12,70
0.31280321374858044,0,71
0.11608745830595113,0,72
0.21857825428705147,4,76
0.660681882781615,0,80
0.2042181152279029,9,82
0.23221533769664504,0,83
0.29815434742829117,11,85
0.3396454336230117,12,86
0.08787512016944843,11,87
0.028371482151034577,17,88
0.6776685857779239,0,89
0.46068694103085805,5,90
0.2902881677264365,17,91
0.5166477452352513,3,92
0.5743028628545884,12,95
0.6734301228406179,12,96
0.21001639331582433,17,101
0.17710414038339406,4,103
0.2787263225618415,17,104
0.621286326632328,12,105
0.17750711807285457,8,106
0.17542000606436092,8,109
0.2606119163324907,19,111
0.41138964896590346,0,113
0.10971294459314984,12,116
0.15086080708379945,17,117
0.5211373254690357,0,119
0.20427070833714067,11,120
0.05381368343965398,11,121
0.05115603759613263,4,122
0.47873752115334256,11,123
0.12204249720168248,12,124
0.20947774567700306,11,125
0.25285891144924,19,127
0.44406292618493814,0,128
0.13753733658273692,17,129
0.4452204118025441,4,130
0.20304685334811068,12,133
0.1563912419747543,8,134
0.16244255047331824,11,138
0.2888927862148297,17,139
0.43799742790566043,12,142
0.23329603551222966,2,144
0.6648143964069642,0,145
0.12843777887423913,0,147
0.004671796118483451,0,149
0.4495863603580067,17,151
0.04160791068640457,0,152
0.12866523776970684,3,154
0.18258753628488145,8,155
0.4270381515006024,17,156
0.42483775354129394,17,158
0.34768417044701083,12,159
0.061216777216491214,11,161
0.010132386406289995,17,162
0.31550845367378766,11,164
0.47390894613718737,0,165
0.40817086832819305,8,167
0.6657224338513459,17,169
0.020746266306734595,0,171
0.11621860948956797,11,172
0.23153791624985964,17,173
0.02475410019246771,17,177
0.37624843751886305,0,180
0.05299672858570692,4,181
0.2834528575467514,12,183
0.4403501504657952,12,185
0.4280679181569418,17,189
0.07383789973037191,12,190
0.46265423229890745,9,193
0.4766862644628711,12,194
0.06058524285193245,9,195
0.16150678286821296,17,196
0.15648074519524058,12,199
0.5752811541873206,17,201
0.5440203270904632,3,202
0.632705222779684,11,203
0.5166373606883965,12,204
0.4835258739729419,0,214
0.3226030290733959,0,215
0.13764438094458586,12,216
0.18086410756779991,19,217
0.6688801669950424,17,224
0.2938892793543817,17,226
0.5273784404831723,11,227
0.39670476982587644,0,229
0.39722401291461196,3,231
0.4688400814098972,3,233
0.4746244819713141,12,234
0.06926229515216509,11,235
0.4649942633835221,17,236
0.33412006425775187,11,237
0.10032814526420086,12,240
0.21080490821554876,17,241
0.5476867283345301,12,243
0.5393841250397451,17,244
0.4936504044482266,0,246
0.23235032493594487,11,247
0.0345968343360733,9,249
0.2750185088324151,18,250
0.004155310888946162,11,252
0.19757211287924026,12,253
0.2810788087168702,17,255
0.03627449552125117,12,256
0.39314493552677654,0,257
0.19661872643848566,8,258
0.4176903241517763,11,259
0.08548793566738477,12,260
0.038037690557235715,16,262
0.5368937844724879,12,263
0.34658041836163533,8,264
0.36649809862930616,3,265
0.05494533231222476,17,268
0.0014319333956476221,12,269
0.23381427955848988,17,270
0.41983692338334055,9,271
0.6613936058517047,9,273
0.025413728006658975,11,275
0.47351264827005524,0,277
0.3633331398444467,12,278
0.020201034866492495,11,281
0.15466154864735893,2,283
0.6281711779982677,11,287
0.239995218825658,11,291
0.28319088925954805,0,292
0.10206481424700464,0,293
0.16231069957833433,8,294
0.0317614778155878,0,295
0.30123196332589586,0,300
0.46865598711867185,17,304
0.20690579862156588,12,306
0.6730580563785836,9,308
0.670489295226298,17,312
0.3360160700536351,17,314
0.12704955546001884,12,316
0.39282551011508327,4,317
0.3326336963864315,8,318
0.043118185423929756,17,319
0.3123731647114696,9,321
