system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
5_0,8,-3,61,56,336,232,130,-60
6_0,12,397,720,633,2444,2686,1672,317
8_0,8,102,203,119,1380,620,253,48
9_0,9,252,397,358,1851,1284,674,204
11_0,9,22,161,129,1232,601,298,-41
12_0,3,404,589,617,1398,1005,640,337
15_0,4,1281,1709,1787,2586,2449,1803,1009
17_0,17,535,806,771,2952,2550,1815,470
20_0,17,753,915,1034,1456,2400,2335,684
22_0,9,587,975,1176,2372,3024,1915,400
23_0,17,448,622,747,1567,1794,1481,373
24_0,17,391,662,647,2811,2015,1178,301
25_0,2,449,741,656,3034,2156,1298,357
28_0,9,63,208,233,1197,948,545,5
29_0,11,230,377,419,1446,1502,955,145
30_0,3,725,995,1091,1756,2234,1684,642
31_0,9,108,251,278,1150,1055,575,33
33_0,0,288,184,96,47,34,19,334
34_0,3,365,580,702,2295,1553,995,312
35_0,8,87,221,155,1782,847,373,50
36_0,0,371,256,113,50,31,21,394
39_0,0,537,735,745,362,160,127,449
40_0,0,197,140,73,44,31,15,216
41_0,9,158,340,278,2165,1378,663,113
42_0,12,389,709,594,2480,2507,1513,305
44_0,4,783,971,954,1384,1360,1223,698
46_0,7,200,391,300,2011,1243,628,176
47_0,11,205,465,493,2487,1776,946,114
48_0,17,463,557,650,1009,1645,1477,429
50_0,0,235,181,76,40,25,21,235
51_0,0,286,178,89,51,34,22,329
52_0,2,308,610,573,2082,1672,1104,187
54_0,0,500,576,288,54,20,19,414
55_0,9,109,227,211,1428,930,483,60
56_0,9,158,366,349,2119,1391,775,104
57_0,8,105,183,139,1082,566,298,65
58_0,17,377,463,497,1129,1683,1398,333
61_0,9,-13,99,90,732,400,222,-66
62_0,11,347,558,529,1721,2283,1473,288
63_0,17,463,768,549,3560,2060,1140,434
64_0,17,289,493,293,3696,1860,838,286
66_0,17,385,562,599,1754,1787,1134,315
69_0,12,439,725,818,2191,3241,2052,308
70_0,12,459,792,863,2714,3440,2164,340
