classification,system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
5,0_0,6,814,1312,1638,1980,2091,1967,575
17,3_0,3,445,697,490,3102,1713,983,427
12,4_0,11,358,687,676,2732,2518,1513,265
17,7_0,17,351,515,480,1734,1518,1002,286
8,10_0,7,140,224,151,1315,590,254,135
17,13_0,17,401,455,509,738,1397,1405,388
12,21_0,17,884,1277,1702,2686,3296,2299,691
17,32_0,17,261,470,355,2615,1345,756,239
0,37_0,0,317,251,99,56,28,25,292
0,59_0,0,616,822,737,164,37,19,486
12,68_0,12,413,695,713,2272,2845,1841,307
9,75_0,8,95,158,155,615,458,242,53
17,77_0,17,365,666,633,2529,2013,1463,303
11,79_0,11,115,293,339,1508,1772,1117,16
8,81_0,9,143,244,131,1862,695,308,125
0,98_0,0,685,890,912,370,29,16,573
17,114_0,19,789,985,1174,2041,3089,2494,692
8,118_0,8,67,124,94,823,333,157,32
12,132_0,17,583,850,1113,2242,2877,2070,460
17,135_0,12,298,650,659,2161,1553,1006,219
2,140_0,17,233,573,446,5436,1868,904,156
12,141_0,12,380,599,614,1564,2160,1525,298
0,143_0,0,505,635,393,56,24,10,394
12,146_0,12,478,906,968,2724,3037,1949,381
12,148_0,11,659,1149,1280,3254,3559,2127,464
8,153_0,9,70,164,109,1574,559,244,13
17,157_0,17,415,550,500,2844,1926,1241,377
0,160_0,0,483,605,380,67,19,13,412
11,163_0,12,317,521,339,2452,1778,867,304
4,178_0,3,575,895,1003,1899,1605,1308,486
8,184_0,8,73,211,131,2599,624,232,26
9,186_0,8,75,114,75,759,358,158,61
17,187_0,17,481,726,936,1401,2323,2124,371
9,191_0,8,89,209,139,1651,733,339,52
8,198_0,8,90,263,187,3051,1167,448,38
17,200_0,17,559,905,1202,1776,2736,2356,463
4,205_0,3,541,874,909,1558,1113,814,423
17,209_0,17,529,710,687,1825,2012,1579,486
8,212_0,9,38,181,122,2207,948,390,3
12,218_0,12,299,680,495,3268,2186,1193,240
9,222_0,9,99,179,162,1033,472,264,62
12,228_0,12,345,578,423,2270,1598,916,314
12,238_0,12,435,738,563,2623,2602,1665,397
12,242_0,2,448,735,617,2695,2214,1337,410
17,251_0,17,664,792,866,1442,2340,2125,615
8,254_0,9,92,183,150,1144,739,352,54
0,272_0,0,274,181,99,53,36,24,312
4,274_0,3,630,917,1026,1698,1688,1359,532
12,276_0,12,402,680,573,2284,2521,1559,330
0,282_0,0,561,572,259,68,25,21,464
11,284_0,11,497,667,653,2347,2432,1414,466
12,286_0,12,367,771,744,2822,2661,1512,233
17,290_0,17,358,381,393,606,920,792,361
3,296_0,4,476,672,709,1755,1421,1072,422
4,298_0,4,814,947,974,1494,1431,1201,661
17,305_0,18,199,437,293,3106,1046,487,135
9,307_0,18,228,366,302,1610,1310,643,220
9,311_0,9,128,208,174,1196,637,334,96
17,315_0,12,504,836,1040,1594,2373,2100,320
8,320_0,8,40,61,41,246,122,59,30
12,330_0,11,510,764,825,2247,3070,1913,428
4,332_0,4,517,851,1092,1858,1368,1113,428
0,346_0,0,509,627,397,59,14,12,418
11,354_0,9,310,584,671,1854,2045,1238,161
17,360_0,17,687,998,1213,1924,2796,2367,583
0,371_0,0,448,457,184,51,16,15,388
9,372_0,2,245,468,380,2840,1714,848,183
11,382_0,12,188,405,456,1568,1482,849,73
12,383_0,12,263,563,375,2848,1941,1046,226
11,389_0,9,162,290,296,1110,1127,623,118
17,392_0,2,379,646,604,2116,1607,1068,310
11,404_0,11,442,807,1015,2438,2872,1708,287
4,405_0,4,487,675,675,1741,1241,962,391
3,412_0,11,469,583,594,1485,1389,900,419
11,416_0,11,245,453,540,1906,2100,1285,142
17,423_0,17,380,668,593,3593,1796,1096,334
9,436_0,9,84,182,175,903,510,299,41
9,437_0,11,164,247,215,782,630,367,133
9,442_0,12,200,393,275,1736,1101,598,149
11,443_0,12,263,383,416,963,1145,735,203
9,445_0,9,185,363,304,1781,1098,526,142
11,448_0,9,192,371,382,1505,1513,881,127
4,451_0,12,347,647,675,1311,1463,1191,215
12,455_0,12,699,1060,1355,2559,3630,2457,529
11,459_0,9,191,322,342,930,1145,767,118
11,463_0,12,142,401,405,1674,1717,1041,46
12,464_0,12,477,664,637,2181,2493,1542,430
17,466_0,2,306,484,408,2860,1717,893,252
17,472_0,17,224,531,347,3133,1355,680,185
17,475_0,17,434,794,851,2846,1921,1313,284
17,476_0,17,382,622,481,2859,1941,1216,337
0,478_0,0,533,566,300,73,29,15,467
0,486_0,0,215,164,83,54,33,18,230
0,494_0,0,269,193,84,50,29,17,251
9,495_0,9,201,330,312,1270,1097,613,132
12,502_0,11,370,679,591,3057,2347,1289,329
9,515_0,11,186,308,254,1692,1099,559,137
9,535_0,8,1,89,86,566,429,222,-56
9,536_0,9,207,355,303,1803,1233,647,166
17,538_0,12,548,806,938,1820,2667,1903,421
0,545_0,0,500,472,181,42,19,15,411
8,551_0,7,136,178,102,1166,413,183,143
12,552_0,17,416,746,495,3650,2176,1092,389
0,555_0,0,694,901,975,694,33,17,583
17,563_0,17,475,615,747,1167,1854,1674,435
17,569_0,3,371,603,579,2190,1547,1027,281
17,571_0,16,506,752,950,1607,2302,1918,422
12,572_0,17,844,1200,1581,2521,3371,2391,623
17,575_0,17,308,497,497,1356,1492,1183,249
12,580_0,12,507,764,821,2853,2825,1770,428
2,583_0,9,186,324,307,1330,800,437,166
4,590_0,3,574,712,705,1260,1099,882,502
11,592_0,9,167,272,298,1272,1243,756,129
11,596_0,11,291,566,658,1962,2240,1286,176
17,602_0,19,743,1131,1378,1907,3048,2317,550
17,609_0,17,349,566,345,4339,1854,937,325
11,612_0,9,238,405,439,1639,1604,966,156
17,616_0,17,339,575,600,2022,1805,1201,293
9,619_0,8,205,328,226,2341,1224,527,184
9,626_0,11,185,296,224,1528,1055,544,163
2,628_0,11,313,481,450,2089,1384,725,298
11,638_0,11,257,263,218,526,568,360,258
0,641_0,0,378,498,385,110,37,23,334
17,642_0,19,448,544,648,1329,2185,1597,402
12,649_0,9,285,416,362,1336,982,539,228
0,654_0,0,496,580,321,56,26,16,415
17,655_0,2,502,824,728,2290,2025,1390,410
11,663_0,12,283,416,401,2455,1502,839,234
12,670_0,17,660,1053,1259,2379,3576,3104,512
17,677_0,17,532,817,764,2581,2062,1447,486
11,686_0,11,194,362,316,1192,1135,698,140
17,698_0,17,571,771,932,1378,2101,1895,501
0,703_0,0,232,203,86,41,25,13,228
12,713_0,12,533,911,1047,2827,3523,2223,379
11,715_0,11,287,468,485,1775,2069,1348,215
17,725_0,11,289,492,378,2658,1761,954,271
17,727_0,17,470,635,554,2007,1550,1287,450
8,732_0,8,59,151,85,1099,409,185,20
0,734_0,0,672,844,888,535,26,14,590
0,740_0,19,494,647,618,959,473,219,385
12,741_0,2,409,769,579,3268,2154,1150,358
17,743_0,2,238,390,374,2021,1368,760,179
8,757_0,8,6,188,123,1994,626,255,-63
17,758_0,12,284,486,369,3354,1723,777,240
0,762_0,0,315,194,99,51,33,28,375
12,764_0,11,356,538,593,1735,2358,1592,278
11,768_0,9,311,630,703,2029,2234,1352,201
17,778_0,17,555,651,767,1234,2141,1854,482
4,782_0,5,2295,2478,2699,2913,2444,1729,2018
0,784_0,0,540,663,420,80,28,10,447
0,785_0,0,228,168,74,42,27,13,232
8,787_0,2,77,192,129,1929,836,358,7
17,793_0,9,200,412,306,2888,1403,603,138
17,796_0,17,651,870,928,1850,2655,2231,590
17,798_0,17,343,577,602,1990,1867,1258,295
17,803_0,17,264,327,387,618,1348,1221,238
8,804_0,9,185,363,193,2887,1180,461,159
12,806_0,12,327,681,580,2729,2327,1359,225
12,817_0,12,394,651,677,1771,2545,1737,290
12,826_0,11,414,671,723,1997,2771,1805,284
17,827_0,17,360,639,458,3420,1932,1038,334
0,830_0,0,200,149,82,45,29,23,233
