system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
0_0,6,814,1312,1638,1980,2091,1967,575
3_0,3,445,697,490,3102,1713,983,427
4_0,11,358,687,676,2732,2518,1513,265
5_0,8,-3,61,56,336,232,130,-60
6_0,12,397,720,633,2444,2686,1672,317
8_0,8,102,203,119,1380,620,253,48
9_0,9,252,397,358,1851,1284,674,204
10_0,7,140,224,151,1315,590,254,135
11_0,9,22,161,129,1232,601,298,-41
12_0,3,404,589,617,1398,1005,640,337
13_0,17,401,455,509,738,1397,1405,388
17_0,17,535,806,771,2952,2550,1815,470
20_0,17,753,915,1034,1456,2400,2335,684
21_0,17,884,1277,1702,2686,3296,2299,691
24_0,17,391,662,647,2811,2015,1178,301
25_0,2,449,741,656,3034,2156,1298,357
29_0,11,230,377,419,1446,1502,955,145
30_0,3,725,995,1091,1756,2234,1684,642
31_0,9,108,251,278,1150,1055,575,33
32_0,17,261,470,355,2615,1345,756,239
33_0,0,288,184,96,47,34,19,334
34_0,3,365,580,702,2295,1553,995,312
35_0,8,87,221,155,1782,847,373,50
36_0,0,371,256,113,50,31,21,394
37_0,0,317,251,99,56,28,25,292
40_0,0,197,140,73,44,31,15,216
47_0,11,205,465,493,2487,1776,946,114
48_0,17,463,557,650,1009,1645,1477,429
50_0,0,235,181,76,40,25,21,235
51_0,0,286,178,89,51,34,22,329
52_0,2,308,610,573,2082,1672,1104,187
55_0,9,109,227,211,1428,930,483,60
56_0,9,158,366,349,2119,1391,775,104
57_0,8,105,183,139,1082,566,298,65
59_0,0,616,822,737,164,37,19,486
62_0,11,347,558,529,1721,2283,1473,288
64_0,17,289,493,293,3696,1860,838,286
68_0,12,413,695,713,2272,2845,1841,307
70_0,12,459,792,863,2714,3440,2164,340
71_0,0,220,159,81,48,34,18,233
72_0,0,380,350,130,68,34,22,325
75_0,8,95,158,155,615,458,242,53
76_0,4,393,641,650,1736,1225,896,287
77_0,17,365,666,633,2529,2013,1463,303
80_0,0,188,261,128,59,44,35,182
81_0,9,143,244,131,1862,695,308,125
85_0,11,1201,1647,2067,2737,3178,2595,977
86_0,12,359,747,418,3906,2049,1052,337
89_0,0,434,438,189,124,81,60,368
90_0,5,607,798,836,1147,1214,1025,487
92_0,3,299,583,823,1297,2111,1765,153
101_0,17,453,719,692,2726,2512,1459,394
103_0,4,640,830,956,1483,1645,1445,509
104_0,17,809,1293,1614,2498,2842,2343,593
105_0,12,365,529,563,1251,1962,1454,285
106_0,8,72,156,131,1393,484,207,14
111_0,19,300,331,351,622,790,581,294
113_0,0,475,512,237,55,19,9,399
114_0,19,789,985,1174,2041,3089,2494,692
116_0,12,582,840,781,2279,2746,1757,502
118_0,8,67,124,94,823,333,157,32
119_0,0,273,174,93,47,31,23,308
120_0,11,181,352,402,1217,1181,683,75
122_0,4,642,897,893,2054,1715,1296,588
123_0,11,406,728,640,2623,2619,1572,323
124_0,12,218,830,629,2917,1564,912,73
127_0,19,503,677,745,1968,1838,1289,437
128_0,0,273,196,90,55,28,17,278
129_0,17,498,706,770,1769,1881,1425,428
130_0,4,576,991,1120,2213,1451,1147,428
132_0,17,583,850,1113,2242,2877,2070,460
133_0,12,577,885,1114,2251,3350,2057,441
134_0,8,58,164,99,2087,520,191,11
138_0,11,324,578,516,2116,2410,1482,270
139_0,17,285,461,388,2510,1584,826,250
140_0,17,233,573,446,5436,1868,904,156
142_0,12,386,757,605,3065,2485,1388,304
143_0,0,505,635,393,56,24,10,394
145_0,0,441,343,120,45,30,17,391
146_0,12,478,906,968,2724,3037,1949,381
147_0,0,519,710,660,140,24,9,411
148_0,11,659,1149,1280,3254,3559,2127,464
151_0,17,568,773,884,1370,2012,1873,464
154_0,3,243,397,432,1387,1579,1052,188
155_0,8,113,203,158,1631,633,302,69
156_0,17,316,548,528,1951,1424,921,248
157_0,17,415,550,500,2844,1926,1241,377
158_0,17,321,575,394,3254,1735,899,292
159_0,12,477,707,681,1993,2795,1982,423
160_0,0,483,605,380,67,19,13,412
161_0,11,465,819,1129,2476,3665,2504,324
162_0,17,380,519,640,982,1493,1190,334
169_0,17,526,974,1089,1819,1524,1251,289
171_0,0,229,172,92,56,32,25,242
173_0,17,356,520,543,1723,1663,1067,292
177_0,17,482,873,772,2581,2155,1272,375
178_0,3,575,895,1003,1899,1605,1308,486
181_0,4,588,869,898,1743,1307,1019,449
183_0,12,372,524,498,1466,1550,876,314
187_0,17,481,726,936,1401,2323,2124,371
189_0,17,596,813,1058,1782,2770,2159,478
190_0,12,328,617,582,2389,2100,1312,258
191_0,8,89,209,139,1651,733,339,52
193_0,9,106,260,212,1253,1012,590,59
195_0,9,11,94,88,607,417,221,-44
196_0,17,334,552,629,1513,1542,1001,238
199_0,12,223,471,375,2205,1682,921,169
200_0,17,559,905,1202,1776,2736,2356,463
201_0,17,283,467,254,4058,1751,718,281
202_0,3,408,737,605,3957,2397,1341,334
203_0,11,338,409,414,1459,1171,689,316
205_0,3,541,874,909,1558,1113,814,423
212_0,9,38,181,122,2207,948,390,3
215_0,0,280,179,97,50,33,23,327
216_0,12,400,768,620,2806,2411,1391,337
217_0,19,331,390,424,524,457,329,292
218_0,12,299,680,495,3268,2186,1193,240
222_0,9,99,179,162,1033,472,264,62
224_0,17,571,699,842,1316,2373,2210,519
226_0,17,315,547,473,2382,1931,1205,290
227_0,11,293,504,435,2037,1870,1039,236
228_0,12,345,578,423,2270,1598,916,314
229_0,0,227,178,83,40,21,14,226
231_0,3,343,735,844,1955,2480,1651,246
234_0,12,382,650,724,1729,1981,1253,303
235_0,11,494,907,864,2994,3386,2139,400
236_0,17,315,516,476,2097,1542,992,294
238_0,12,435,738,563,2623,2602,1665,397
241_0,17,358,634,814,2263,2975,1992,271
243_0,12,440,712,839,1793,2602,2035,353
244_0,17,302,476,407,2023,1810,1111,266
246_0,0,236,166,78,50,30,17,238
247_0,11,547,892,1021,3235,2669,1570,427
250_0,18,285,484,388,2510,1490,760,242
251_0,17,664,792,866,1442,2340,2125,615
252_0,11,216,380,256,1266,1061,638,186
253_0,12,583,1012,1176,2762,2907,1663,384
254_0,9,92,183,150,1144,739,352,54
255_0,17,275,457,601,983,1865,1596,217
256_0,12,394,649,717,1754,2493,1658,287
257_0,0,235,169,74,50,34,21,222
259_0,11,336,598,666,2037,2319,1475,229
260_0,12,261,544,439,1762,1203,681,176
262_0,16,285,488,461,1836,1275,761,247
263_0,12,366,651,704,2346,2666,1624,270
264_0,8,56,85,40,563,209,83,40
265_0,3,536,730,807,1907,1936,1471,450
268_0,17,460,680,744,2200,2436,1597,408
270_0,17,311,375,435,603,1110,894,261
272_0,0,274,181,99,53,36,24,312
273_0,9,85,164,116,882,682,364,50
274_0,3,630,917,1026,1698,1688,1359,532
276_0,12,402,680,573,2284,2521,1559,330
277_0,0,273,286,203,110,64,40,266
281_0,11,536,638,590,2013,1473,847,466
283_0,2,206,445,376,2018,1038,625,109
284_0,11,497,667,653,2347,2432,1414,466
286_0,12,367,771,744,2822,2661,1512,233
287_0,11,52,171,171,1214,787,461,-6
290_0,17,358,381,393,606,920,792,361
293_0,0,517,664,434,69,15,10,417
295_0,0,496,669,614,129,22,12,404
296_0,4,476,672,709,1755,1421,1072,422
298_0,4,814,947,974,1494,1431,1201,661
304_0,17,379,574,739,1190,1589,1323,302
305_0,18,199,437,293,3106,1046,487,135
306_0,12,528,885,830,2903,3151,1912,455
307_0,18,228,366,302,1610,1310,643,220
311_0,9,128,208,174,1196,637,334,96
312_0,17,219,307,392,641,1197,1061,165
316_0,12,518,752,732,2427,2735,1763,437
317_0,4,542,574,530,1598,1056,742,516
320_0,8,40,61,41,246,122,59,30
321_0,9,181,176,132,663,492,265,159
323_0,17,535,853,931,2142,2398,1573,409
326_0,17,426,718,542,3217,2155,1298,382
329_0,0,438,595,449,98,28,17,354
330_0,11,510,764,825,2247,3070,1913,428
331_0,17,353,555,624,2139,1791,1075,320
338_0,11,272,603,349,3308,1844,943,221
339_0,8,116,208,183,1209,784,374,68
340_0,12,473,715,645,2199,2688,1711,417
342_0,3,576,851,920,1905,1408,1083,469
344_0,17,685,1018,1345,2108,3658,3184,573
346_0,0,509,627,397,59,14,12,418
347_0,3,187,321,313,1636,786,495,150
349_0,17,363,630,696,2029,2014,1425,268
353_0,17,648,842,964,1566,2137,1792,558
354_0,9,310,584,671,1854,2045,1238,161
357_0,9,-27,23,28,174,92,42,-65
359_0,0,339,435,248,52,24,12,279
360_0,17,687,998,1213,1924,2796,2367,583
364_0,4,609,906,1071,1681,1401,1175,476
365_0,8,143,256,220,2186,832,353,114
368_0,5,878,1341,1479,1611,1973,1736,589
371_0,0,448,457,184,51,16,15,388
373_0,0,470,518,239,47,20,12,404
375_0,9,238,337,244,1729,1118,581,224
376_0,11,208,343,310,942,1164,783,179
377_0,4,424,631,703,1357,952,688,336
378_0,19,262,300,263,269,97,62,263
381_0,0,477,521,250,51,19,10,407
382_0,12,188,405,456,1568,1482,849,73
383_0,12,263,563,375,2848,1941,1046,226
384_0,2,123,167,149,604,523,291,107
386_0,11,96,268,328,1574,1555,909,7
387_0,8,182,300,193,1733,886,401,145
388_0,9,177,350,281,2562,1420,676,127
389_0,9,162,290,296,1110,1127,623,118
393_0,11,323,537,672,2073,2117,1432,211
394_0,11,473,650,621,2459,2589,1512,419
397_0,12,196,348,218,1717,921,492,172
399_0,11,225,395,420,1220,1721,1095,166
404_0,11,442,807,1015,2438,2872,1708,287
405_0,4,487,675,675,1741,1241,962,391
406_0,4,498,641,719,1537,1220,880,439
412_0,11,469,583,594,1485,1389,900,419
414_0,17,535,802,1048,1634,2916,2782,414
416_0,11,245,453,540,1906,2100,1285,142
417_0,0,507,629,394,66,18,12,411
419_0,0,296,193,108,57,42,26,342
423_0,17,380,668,593,3593,1796,1096,334
424_0,0,486,573,305,49,24,14,415
425_0,17,402,563,597,1941,1881,1277,343
426_0,0,354,243,93,44,19,9,354
428_0,8,51,175,106,1972,490,183,9
429_0,16,1004,1231,1306,1683,1608,1207,840
432_0,17,535,805,847,2863,2055,1394,435
433_0,18,561,793,912,1478,2337,1831,426
434_0,8,94,234,216,1411,885,416,67
436_0,9,84,182,175,903,510,299,41
439_0,4,752,985,1058,1677,1932,1534,669
441_0,0,424,408,163,47,19,9,388
443_0,12,263,383,416,963,1145,735,203
444_0,9,65,275,265,1298,1039,569,14
445_0,9,185,363,304,1781,1098,526,142
446_0,0,411,401,157,61,33,21,369
447_0,0,339,252,99,57,29,19,318
449_0,8,119,195,119,1737,543,224,86
450_0,11,101,302,210,2275,911,413,37
452_0,17,728,985,1224,1728,2553,2232,595
455_0,12,699,1060,1355,2559,3630,2457,529
458_0,3,258,545,625,1325,1297,1016,67
460_0,4,1421,1845,2127,2365,2937,2748,1232
462_0,2,347,653,416,4025,1979,1028,293
463_0,12,142,401,405,1674,1717,1041,46
464_0,12,477,664,637,2181,2493,1542,430
465_0,4,424,689,760,1861,1766,1258,344
